title,authors,description
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,"The Hitchhiker's Guide to the Galaxy provides an excellent way of looking at some intriguing issues in philosophy, from vegetarianism and Artificial Intelligence to God, space and time. This is an entertaining yet thought provoking volume for students, philosophers and fans of The Hitchhiker's series."
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,"In one complete volume, here are the five classic novels from Douglas Adams’s beloved Hitchhiker series. Now celebrating the pivotal 42nd anniversary of The Hitchhiker’s Guide to the Galaxy, soon to be a Hulu original series! The Hitchhiker’s Guide to the Galaxy (Nominated as one of America’s best-loved novels by PBS’s The Great American Read) Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space. The Restaurant at the End of the Universe The moment before annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat. Life, the Universe and Everything The unhappy inhabitants of planet Krikkit are sick of looking at the night sky– so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew. So Long, and Thanks for All the Fish Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription thrusts him back to reality. So to speak. Mostly Harmless Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself? Includes the bonus story “Young Zaphod Plays It Safe” “With droll wit, a keen eye for detail and heavy doses of insight . . . Adams makes us laugh until we cry.”—San Diego Union-Tribune “Lively, sharply satirical, brilliantly written . . . ranks with the best set pieces in Mark Twain.”—The Atlantic"
A Short History of Nearly Everything,Bill Bryson,"This new edition of the acclaimed bestseller is lavishly illustrated to convey, in pictures as in words, Bill Bryson’s exciting, informative journey into the world of science. In A Short History of Nearly Everything, the bestselling author of A Walk in the Woods and The Body, confronts his greatest challenge yet: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as his territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. The result is a sometimes profound, sometimes funny, and always supremely clear and entertaining adventure in the realms of human knowledge, as only Bill Bryson can render it. Now, in this handsome new edition, Bill Bryson’s words are supplemented by full-color artwork that explains in visual terms the concepts and wonder of science, at the same time giving face to the major players in the world of scientific study. Eloquently and entertainingly described, as well as richly illustrated, science has never been more involving or entertaining."
Bill Bryson's African Diary,Bill Bryson,"Bill Bryson goes to Kenya at the invitation of CARE International, the charity dedicated to working with local communities to eradicate poverty around the world. Kenya, generally regarded as the cradle of humankind, is a land of stunning landscapes, famous game reserves, and a vibrant culture, but it also has many serious problems, including refugees, AIDS, drought and grinding poverty. It also provides plenty to worry a nervous traveller like Bill Bryson: hair-raising rides in light aircraft, tropical diseases, snakes, insects and large predators. Bryson casts his inimitable eye on a continent new to him, and the resultant diary, though short in length, contains all his trademark laugh-out-loud wit, wry observation and curious insight. All the author’s royalties from this book, as well as all profits, will go to CARE International."
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,"One of the English language's most skilled and beloved writers guides us all towards precise, mistake-free usage. In the middle 1980s Bill Bryson was a copy editor for the London Times with the brash idea that he could fill a hole in the British book market for a concise, accessible, handy guide to proper usage. A complete unknown, he nonetheless sold Penguin Books on the idea, and the result was The Penguin Dictionary of Troublesome Words, which sold decently enough on both sides of the Atlantic. Now, fifteen years later, Bill Bryson has become, well, Bill Bryson -- and his terrifically useful little book has been revised, updated and Americanized to become Bryson's Dictionary of Troublesome Words. Precise, prescriptive, sometimes (like its author) amusingly prickly, this book belongs on the desk of every person who cares enough about our language not to maul or misuse or distort it. Move over, Strunk and White."
In a Sunburned Country,Bill Bryson,"""I come from Des Moines. Somebody had to."" And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of smiling village where the movies from his youth were set. Instead he drove through a series of horrific burgs, which he renamed Smellville, Fartville, Coleslaw, Coma, and Doldrum. At best his search led him to Anywhere, USA, a lookalike strip of gas stations, motels and hamburger outlets populated by obese and slow-witted hicks with a partiality for synthetic fibres. He discovered a continent that was doubly lost: lost to itself because he found it blighted by greed, pollution, mobile homes and television; lost to him because he had become a foreigner in his own country."
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,"A classic from the New York Times bestselling author of A Walk in the Woods and The Body. After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children (he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens—as he later put it, ""it was clear my people needed me""). They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item. Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away."
The Lost Continent: Travels in Small Town America,Bill Bryson,"""I come from Des Moines. Somebody had to."" And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of smiling village where the movies from his youth were set. Instead he drove through a series of horrific burgs, which he renamed Smellville, Fartville, Coleslaw, Coma, and Doldrum. At best his search led him to Anywhere, USA, a lookalike strip of gas stations, motels and hamburger outlets populated by obese and slow-witted hicks with a partiality for synthetic fibres. He discovered a continent that was doubly lost: lost to itself because he found it blighted by greed, pollution, mobile homes and television; lost to him because he had become a foreigner in his own country."
Neither Here nor There: Travels in Europe,Bill Bryson,"A classic from the New York Times bestselling author of A Walk in the Woods and The Body. After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children (he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens—as he later put it, ""it was clear my people needed me""). They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item. Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away."
Notes from a Small Island,Bill Bryson,"Before New York Times bestselling author Bill Bryson wrote The Road to Little Dribbling, he took this delightfully irreverent jaunt around the unparalleled floating nation of Great Britain, which has produced zebra crossings, Shakespeare, Twiggie Winkie’s Farm, and places with names like Farleigh Wallop and Titsey."
The Mother Tongue: English and How It Got That Way,Bill Bryson,"“Vastly informative and vastly entertaining…A scholarly and fascinating book.” —Los Angeles Times With dazzling wit and astonishing insight, Bill Bryson explores the remarkable history, eccentricities, resilience and sheer fun of the English language. From the first descent of the larynx into the throat (why you can talk but your dog can’t), to the fine lost art of swearing, Bryson tells the fascinating, often uproarious story of an inadequate, second-rate tongue of peasants that developed into one of the world’s largest growth industries."
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"Tolkien's classic epic fantasy trilogy The Lord of the Rings, updated with a fresh new package forBook 3, The Return of the King As the Shadow of Mordor grows across the land, the Companions of the Ring have become involved in separate adventures. Aragorn, revealed as the hidden heir of the ancient Kings of the West, has joined with the Riders of Rohan against the forces of Isengard and takes part in the desperate victory of the Hornburg. Merry and Pippin, captured by Orcs, escape into Fangorn Forest and there encounter the Ents. Gandalf has miraculously returned and defeated the evil wizard, Saruman. Sam has left his master for dead after a battle with the giant spider, Shelob; but Frodo is still alive--now in the foul hands of the Orcs. And all the while the armies of the Dark Lord are massing as the One Ring draws ever nearer to the Cracks of Doom."
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,Frodo the hobbit and a band of warriors from the different kingdoms set out to destroy the Ring of Power before the evil Sauron grasps control.
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,Frodo the hobbit and a band of warriors from the different kingdoms set out to destroy the Ring of Power before the evil Sauron grasps control.
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,Frodo the hobbit and a band of warriors from the different kingdoms set out to destroy the Ring of Power before the evil Sauron grasps control.
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,"Describes in detail, with over one thousand photographs, the battles, armies, and armor used in the War of the Ring based on J.R.R. Tolkien's ""Lord of the Rings"" trilogy, including battle plans and character histories and descriptions."
The Lord of the Rings: Complete Visual Companion,Jude Fisher,"Photographs, screenshots, and images from all three films provide a visual compendium of the film trilogy ""The Lord of the Rings,"" documenting the varied characters and locales as seen through Peter Jackson's vision of Middle-earth."
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,"These are the proven, effective agile practices that will make you a better developer. You'll learn pragmatic ways of approaching the development process and your personal coding techniques. You'll learn about your own attitudes, issues with working on a team, and how to best manage your learning, all in an iterative, incremental, agile style. You'll see how to apply each practice, and what benefits you can expect. Bottom line: This book will make you a better developer."
Hatchet (Brian's Saga  #1),Gary Paulsen,"After a plane crash, thirteen-year-old Brian spends fifty-four days in the Canadian wilderness, learning to survive with only the aid of a hatchet given him by his mother, and learning also to survive his parents' divorce."
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,"Teaching literature unit based on the popular children's story, Hatchet."
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,"Guess what -- Gary Paulsen was being kind to Brian. In Guts, Gary tells the real stories behind the Brian books, the stories of the adventures that inspired him to write Brian Robeson's story: working as an emergency volunteer; the death that inspired the pilot's death in Hatchet; plane crashes he has seen and near-misses of his own. He describes how he made his own bows and arrows, and takes readers on his first hunting trips, showing the wonder and solace of nature along with his hilarious mishaps and mistakes. He shares special memories, such as the night he attracted every mosquito in the county, or how he met the moose with a sense of humor, and the moose who made it personal. There's a handy chapter on ""Eating Eyeballs and Guts or Starving: The Fine Art of Wilderness Nutrition."" Recipes included. Readers may wonder how Gary Paulsen survived to write all of his books -- well, it took guts."
Molly Hatchet - 5 of the Best,Molly Hatchet,"(Play It Like It Is). Molly Hatchet is one of the classic Southern Rock bands, along with Lynyrd Skynyrd. They feature a three-guitar attack that has helped define rockin' boogie music. This songbook features five killer tunes transcribed in notes and tab exactly as recorded: Beatin' the Odds * Bounty Hunter * Flirtin' with Disaster * Gator Country * Whiskey Man."
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,"Rife with textual analysis, historical context, and insights about the power of fiction, Peck hacks away literature's deadwood to discover the vital heart of the contemporary novel."
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,"A Changeling For All Seasons Ten unforgettable Erotic Tales to warm your nights and keep you in holiday spirits all year long! Angela Knight - A Vampire Christmas Sahara Kelly - A Christmas Pageant Judy Mays - Jingle Balls Marteeka Karland - Sealed With A Kiss Kate Douglas - My Valentine Shelby Morgen - Changeling Willa Okati - Elven Enchantment Kate Hill - Jolene's Pooka Lacey Savage - Chemistry to Burn Shelby Morgen - Troll Under The Bridge Filled with the unexpected, A Changeling For All Seasons offers something to savor for every palate. From humorous to magical, from Christmas to St. Patrick's Day to the 4th of July, these stories are alight with unbridled lust, sensuous passion, and hot, hot sex, guaranteed to entangle your senses and leave you breathless. www.ChangelingPress.com A Vacation For Your Mind -- No Passport Required."
Changeling (Changeling  #1),Delia Sherman,"“Mesmerizing . . . a dark fairy tale of New York, full of magic and loss, myth and mystery, love and madness.”—Marlon James, author of the Dark Star trilogy NOW AN APPLE TV+ SERIES STARRING LAKEITH STANFIELD • ONE OF TIME’S 100 BEST FANTASY BOOKS OF ALL TIME Winner of an American Book Award, a Locus Award for Best Horror Novel, a British Fantasy Award for Best Horror Novel, a World Fantasy Award for Best Novel • Nominated for a Shirley Jackson Award, an International Dublin Literary Award, a Mythopoeic Award for Literature When Apollo Kagwa’s father disappeared, he left his son a box of books and strange recurring dreams. Now Apollo is a father himself—and as he and his wife, Emma, settle into their new lives as parents, exhaustion and anxiety start to take their toll. Apollo’s old dreams return and Emma begins acting odd. At first Emma seems to be exhibiting signs of postpartum depression. But before Apollo can do anything to help, Emma commits a horrific act and vanishes. Thus begins Apollo’s quest to find a wife and child who are nothing like he’d imagined. His odyssey takes him to a forgotten island, a graveyard full of secrets, a forest where immigrant legends still live, and finally back to a place he thought he had lost forever. NAMED ONE OF PASTE’S BEST HORROR BOOKS OF THE DECADE • NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The New York Times • USA Today • The New York Public Library • NPR • BuzzFeed • Kirkus Reviews • Book Riot “The thriller you won’t be able to put down.”—O: The Oprah Magazine “Intense, riveting . . . The story is a long, slow burn with a lingering sizzle.”—Los Angeles Review of Books “A modern-day tale of terror rooted in ancient myth and folklore, brimming with magical revelation and emotional truth.”—San Francisco Chronicle"
The Changeling Sea,Patricia A. McKillip,"Twenty years ago, the powerful mage Atrix Wolfe unleashed an uncontrollable force that killed his beloved king. Now, the Queen of the Wood has offered him one last chance for redemption. She asks him to find her daughter, who vanished into the human world during the massacre he caused. No one has seen the princess-but deep in the kitchens of the Castle of Pelucir, there is a scullery maid who appeared out of nowhere one night long ago. She cannot speak and her eyes are full of sadness. But there are those who call her beautiful."
The Changeling,Zilpha Keatley Snyder,"Ivy and Martha are not ordinary best friends. Ivy is a changeling with supernatural powers—or at least that’s what she says . . . Martha is incredibly unpopular. She’s overweight, buck-toothed, and shy. Ivy is an outcast. Her family lives on the outskirts of town amid a field of derelict orchards. But starting in second grade, the girls form a bond that allows them to take control of their own lives. It all begins when Ivy tells Martha that she is no ordinary girl: She claims she’s a changeling, switched with the real Ivy at birth. With the strength of Ivy’s friendship, Martha becomes more confident and sure of herself. And through their bond, Ivy gains the normalcy she needs, away from life with her tumultuous family. When the two girls play, they enter an elaborate fantasy world all their own. But when the real world threatens to split them apart, their friendship becomes more important than ever. This ebook features an extended biography of Zilpha Keatley Snyder."
The Changeling,Kate Horsley,"Here, the author of the acclaimed Confessions of a Pagan Nun takes us to fourteenth-century Ireland for a strange and luminous tale of the elusive nature of identity and of triumph in adversity. The Changeling is the story of Grey, a peasant girl who is raised as a boy, and who, until adolescence, never doubts herself to be male. The revelation of her womanhood marks the beginning of her journey through a succession of changing identities—including son, wife, warrior, and mother—each of which brings its own special wisdom, but none of which, she discovers, can ultimately define her. In the course of her adventurous life, Grey deals with all the challenges of her tumultuous age—from political oppression to corrupt Church hierarchy to the horrors of the Black Death—ultimately finding peace and a kind of redemption by embracing the beautifully impermanent quality of identity that her unusual life has enabled her to understand. (Previously published in hardcover as The Changeling of Finnistuath .)"
The Changeling (Daughters of England  #15),Philippa Carr,"DIVThree young women bound by ties deeper than blood are swept up in a web of intrigue and betrayal in this haunting gothic tale /divDIV Rebecca Mandeville arrives at Manorleigh with her mother amid rumors that Rebecca’s politically ambitious stepfather may have murdered his first wife. Homesick for her native Cornwall, Rebecca feels she’ll never belong at Benedict Lansdon’s ancestral estate—a place haunted by the phantoms of past crimes. When tragedy strikes, Rebecca struggles to move on, and becomes inextricably linked to two young girls: her half-sister Belinda and an orphan named Lucie./divDIV /divDIVTeeming with scandal and murder, The Changeling is at once an atmospheric ghost tale and a gripping story of familial betrayal as powerful as the woman at its haunting center./div"
The Known World,Edward P. Jones,"From Edward P. Jones comes one of the most acclaimed novels in recent memory—winner of the Pulitzer Prize for Fiction and the National Book Critics Circle Award for Fiction. The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Edward P. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities. “A masterpiece that deserves a place in the American literary canon.”—Time"
The Known World,Edward P. Jones/Kevin R. Free,John C. Tramazzo highlights the relationship between bourbon and military service to show the rich and dramatic connection in American history.
The Known World,Edward P. Jones,"From Edward P. Jones comes one of the most acclaimed novels in recent memory—winner of the Pulitzer Prize for Fiction and the National Book Critics Circle Award for Fiction. The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Edward P. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities. “A masterpiece that deserves a place in the American literary canon.”—Time"
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,"A sensational and compelling insider's view that lifts the lid on the fast-paced and dazzling world of derivatives, now in a smaller, paperback format. Traders Guns and Money is a wickedly comic exposé of the culture, games and pure deceptions played out every day in trading rooms around the world. And played out with other people's money. This sensational insider's view of the business of trading and marketing derivatives, explains the frighteningly central role that derivatives and financial products played in the global financial crisis. This worldwide bestseller reveals the truth about derivatives: those financial tools memorably described by Warren Buffett as 'financial weapons of mass destruction'. Traders, Guns and Money will introduce you to the players and the practices and reveals how the real money is made and lost. 'The sexier side of finance ... at last ... a convincing picture of what life is like in today's modern financial industry.' Corporate Financier '....more riveting than the Da Vinci Code...in the mould of Liars' Poker...an insider's account of how derivatives markets work...' Goola Warden, The Edge"
Artesia: Adventures in the Known World,Mark Smylie,"The drums and horns of war still sound through the Middle Kingdoms, though the invading Empire of Thessid-Gola has been dealt a setback. The powers at play -- the High King of Therapoli, his nobles and officers, the lurking Isliklid King, his warrior-servants, and the Sultan, commander of the Empire's armies -- are all maneuvering for advantage, setting snares and traps for each other, with prisoners of war now hostages held in the balance. And through this den of vipers marches Artesia, self-proclaimed Queen of Dara Dess, with magic coursing through her veins, the whispers of ghosts in her ears, and an army at her back as she confronts the temptations, limits and consequences of power."
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,"In 1965, John McPhee published his first book, ""A Sense of Where You Are""; a decade later, he had published eleven others. This reader is comprised of selections from those first twelve books."
Uncommon Carriers,John McPhee,"McPhee, in prose distinguished by its warm humor, keen insight, and rich sense of human character, looks at the people who drive trucks, captain ships, pilot towboats, drive coal trains, and carry lobsters through the air: people who work in freight transportation."
